id;user_id;hotel_id;hotel_name;hotel_stars;city_tax;address;begin_date;end_date;price_per_night;includes_breakfast;room_details;rating;comment
Book0000000191;MirPinho;HTL501;Sagrada Familia Hotel;4;2;501 Carrer de Mallorca, Barcelona;2021/02/12;2021/02/14;180;true;Room Size: 300 sq ft;1;We had a fantastic stay at this hotel.
Book0000000197;MCastro31;HTL505;;5;2;505 Carrer d'Enric Granados, Barcelona;2021/02/12;2021/02/16;300;true;Occupancy: 1 Guest;1;Highly recommended!
Book0000000212;ErLourenço542;HTL504;Park Güell Suites;4;2;504 Carrer d'Olot, Barcelona;2021/02/12;2021/02/14;200;true;Room Type: Family Suite;3;
Book0000000280;Daniela-BiancTavares;HTL501;Sagrada Familia Hotel;4;2;501 Carrer de Mallorca, Barcelona;2021/10/09;2021/10/13;180;true;Room Type: Standard;3;
Book0000000287;VaCoelho1853;HTL502;Gothic Quarter Inn;3;2;502 Carrer de la Ciutat, Barcelona;2021/10/09;2021/10/12;150;false;Amenities: Mini Fridge;2;
Book0000000297;EnzCampos;HTL302;Vatican City Suites;5;3;302 Via della Conciliazione, Rome;2022/02/14;2022/02/18;320;true;Occupancy: 4 Guests;2;
Book0000000299;AValente1155;;Colosseum View Hotel;4;3;301 Via di San Gregorio, Rome;2022/02/14;2022/02/16;200;true;Bathroom: Bathtub;2;An enjoyable stay overall.
Book0000000328;ÉriNogueira488;HTL805;Brera Art District Hotel;4;2;805 Via Brera, Milan;2023/05/20;2023/05/24;240;true;Occupancy: 1 Guest;2;The spa treatments were rejuvenating.
;SofiAmaral-Teixeira;HTL802;Fashion District Suites;5;2;802 Via Montenapoleone, Milan;2023/05/20;2023/05/22;350;true;View: Garden View;2;
Book0000000351;CamilMiranda-Matos;HTL802;Fashion District Suites;5;2;802 Via Montenapoleone, Milan;2023/05/20;2023/05/24;350;true;View: City View;4;
Book0000000372;MargarBatista399;HTL104;Seine Riverfront Hotel;4;2;104 Quai de la Seine, Paris;2021/11/21;2021/11/25;200;true;Number of Beds: 1 King Bed;1;
Book0000000398;GabriJesus;;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/06;200;true;Number of Beds: 1;2;Highly recommended!
Book0000000421;ToFernandes;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2022/04/03;2022/04/05;120;false;Amenities: Coffee Maker;3;The staff was attentive to our needs.
Book0000000432;MadaleRamos185;HTL1404;;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/04;200;true;Bathroom: Private;2;The check-in process was quick and easy.
Book0000000443;MarcoMatias882;HTL1202;Esplanadi Park Inn;3;3;1202 Pohjoisesplanadi, Helsinki;2022/07/13;2022/07/09;180;false;Bathroom: Private;2;
Book0000000449;JoAraújo;HTL1203;Kallio District Suites;2;3;1203 Hämeentie, Helsinki;2022/07/09;2022/07/10;120;false;Room Type: Standard;3;
Book0000000463;RúSantos;HTL1203;Kallio District Suites;2;3;1203 Hämeentie, Helsinki;2022/07/09;2022/07/10;120;false;Bathroom: Private;1;The hotel had a welcoming atmosphere.
Book0000000511;BenBrito1722;HTL203;Gran Vía View Hotel;4;2;203 Gran Vía, Madrid;2022/05/13;2022/05/17;210;true;Amenities: Mini Fridge;3;The hotel restaurant had a diverse menu.
Book0000000526;AfoMatos;HTL204;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2022/05/13;2022/05/15;150;false;Amenities: TV;3;We had a fantastic stay at this hotel.
;JReis;HTL205;Plaza Mayor Hotel;4;2;205 Plaza Mayor, Madrid;2022/05/13;2022/05/17;190;true;Amenities: Coffee Maker;4;The check-in process was quick and easy.
Book0000000532;EduCarvalho1041;HTL601;Vienna Opera Hotel;4;4;601 Opernring, Vienna;2023/07/14;2023/07/16;190;true;Amenities: Free Wi-Fi;1;
Book0000000539;JuliaLoureiro;HTL601;Vienna Opera Hotel;4;4;601 Opernring, Vienna;2023/07/14;2023/07/18;190;true;Occupancy: 1 Guest;1;
Book0000000547;FiMiranda;HTL604;Danube Riverfront Hotel;4;4;604 Donaukanal, Vienna;2023/07/14;2023/07/15;220;true;View: City View;4;Impressive lobby and amenities.
Book0000000573;RenatPires;HTL602;Belvedere Palace Suites;5;4;602 Prinz Eugen-Straße, Vienna;2023/07/14;2023/07/18;280;true;Room Type: Standard;3;
Book0000000589;IsaaGaspar;HTL1601;Royal Palace Hotel;5;4;301 Aleje Ujazdowskie, Warsaw;2021/12/10;2021/12/12;380;1;Number of Beds: 2 Double Beds;1;Conveniently located near public transportation.
Book0000000599;TatiaAmorim1160;HTL1603;Warsaw Central Suites;3;4;303 Centrum, Warsaw;2021/12/10;2021/12/11;160;false;Number of Beds: 2;2;
Book0000000675;LucBatista1373;HTL204;Retiro Park Inn;3;2;;2022/12/03;2022/12/04;150;false;Room Type: Standard;4;
Book0000000679;DJesus;HTL204;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2022/12/03;2022/12/07;150;false;Room Type: Executive Suite;2;
Book0000000688;EmTorres;HTL1105;Josefov District Hotel;4;1;1105 Josefov, Prague;2023/03/22;2023/03/26;240;true;Bathroom: Ensuite;4;
Book0000000719;SalTavares159;HTL1105;Josefov District Hotel;4;1;;2023/03/22;2023/03/25;240;true;Number of Beds: 1;1;
Book0000000732;HenrLeite265;HTL1601;Royal Palace Hotel;5;4;301 Aleje Ujazdowskie, Warsaw;2021/04/17;2021/04/20;380;true;Number of Beds: 2 Queen Beds;2;
Book0000000744;Daniela-BiancTavares;HTL1601;Royal Palace Hotel;5;4;301 Aleje Ujazdowskie, Warsaw;2021/04/17;2021/04/18;380;true;Amenities: Free Wi-Fi;3;Easy access to tourist attractions.
Book0000000751;MadaNunes;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2022/04/15;2022/04/16;160;false;Room Size: 500 sq ft;4;The bar had a wide selection of drinks.
Book0000000762;ConsMartins1043;HTL1405;Kurfürstendamm Plaza Hotel;4;3;1405 Kurfürstendamm, Berlin;2022/04/15;2022/04/18;230;-25;Number of Beds: 2 Queen Beds;2;Family-friendly accommodations.
Book0000000764;HugPinto-Rodrigues1412;HTL1405;Kurfürstendamm Plaza Hotel;4;3;1405 Kurfürstendamm, Berlin;2022/04/15;2022/04/17;230;true;Amenities: Mini Fridge;2;The staff went above and beyond to make us feel welcome.
Book0000000777;DanieBatista;HTL1402;;3;3;1402 Alexanderplatz, Berlin;2022/04/15;2022/04/19;160;;Room Size: 700 sq ft;4;Quiet and peaceful ambiance.
Book0000000795;InMonteiro1057;HTL1404;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2022/04/15;2022/04/16;200;true;Amenities: Mini Fridge;4;
Book0000000798;EriCoelho;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2022/04/15;2022/04/17;160;false;Amenities: TV;3;
Book0000000802;SérCoelho;HTL1404;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2022/04/15;2022/04/16;200;true;Occupancy: 2 Guests;3;The hotel had a welcoming atmosphere.
Book0000000810;DiogJesus;HTL1405;Kurfürstendamm Plaza Hotel;4;3;1405 Kurfürstendamm, Berlin;2022/04/15;2022/04/18;230;true;Room Size: 700 sq ft;1;Close to shopping and dining options.
Book0000000821;MPires1088;HTL1201;Helsinki Harbor Hotel;4;3;1201 Katajanokanlaituri, Helsinki;2022/07/15;2022/07/19;240;true;Amenities: Free Wi-Fi;1;
Book0000000858;RafAraújo727;HTL1105;Josefov District Hotel;4;1;1105 Josefov, Prague;2022/10/06;2022/10/08;240;true;Number of Beds: 1;1;The bar had a wide selection of drinks.
Book0000000864;SaAssunção;HTL1103;Wenceslas Square Inn;3;1;1103 Václavské náměstí, Prague;2022/10/06;2022/10/09;160;false;Amenities: TV;4;Good room service options.
Book0000000903;IriPinto;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2021/04/13;2021/04/17;160;false;Amenities: Coffee Maker;1;Great place to unwind after a busy day.
Book0000000928;ITeixeira;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2021/04/13;2021/04/14;160;false;Occupancy: 4 Guests;1;
Book0000000930;SamLima1284;HTL1404;Spree Riverfront Hotel;4;3;;2021/04/13;2021/04/14;200;true;Room Type: Suite;2;We had a memorable experience at this hotel.
Book0000000945;NuMelo1394;HTL1005;Monastiraki Market Hotel;3;2;1005 Athinas, Athens;2023/05/10;2023/05/14;180;true;View: Mountain View;2;Excellent housekeeping service.
Book0000000946;Diana-ÉriRodrigues1395;HTL1002;Plaka Historic Inn;3;2;1002 Adrianou, Athens;2023/05/12;2023/05/10;160;false;Room Type: Suite;1;
Book0000000959;LNogueira649;HTL1002;Plaka Historic Inn;3;2;1002 Adrianou, Athens;2023/05/10;2023/05/14;160;false;View: Garden View;3;
Book0000000971;FranVaz4;HTL1003;Omonia Square Suites;2;-10;1003 Omonoia Square, Athens;2023/05/10;2023/05/14;120;false;Room Type: Standard;2;Easy access to tourist attractions.
;BCunha;HTL1004;Syntagma Plaza Hotel;4;2;1004 Syntagma Square, Athens;2023/05/10;2023/05/12;200;true;Room Size: 400 sq ft;4;
Book0000001002;CésaMagalhães;HTL1604;Warsaw Riverside Inn;4;4;304 Nad Wisłą, Warsaw;2022/10/04;2022/10/06;320;true;Room Size: 500 sq ft;4;
Book0000001034;PatríciLopes-Macedo1192;HTL1603;;3;4;303 Centrum, Warsaw;2022/05/12;2022/05/14;160;false;Amenities: TV;1;
Book0000001038;RaqSilva-Matias;HTL1603;Warsaw Central Suites;3;4;303 Centrum, Warsaw;2022/05/12;2022/05/16;160;false;Occupancy: 3 Guests;3;Our room had a fantastic view of the river.
Book0000001048;XavLoureiro;HTL404;Museum Quarter Hotel;4;2;404 Hobbemastraat, Amsterdam;2021/09/16;2021/09/19;180;true;Room Type: Standard;4;
Book0000001054;IrMatos;HTL403;Red Light District Inn;2;2;403 Oudezijds Voorburgwal, Amsterdam;2021/09/16;2021/09/18;120;false;Bathroom: Ensuite;2;
Book0000001067;BenediFigueiredo739;HTL405;Jordaan Riverside Hotel;3;2;405 Brouwersgracht, Amsterdam;2021/09/16;2021/09/17;170;true;Occupancy: 3 Guests;4;The rooftop bar has amazing cocktails.
Book0000001100;HPinto;HTL204;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2022/10/11;2022/10/12;150;false;Room Size: 700 sq ft;4;Impressive lobby and amenities.
Book0000001107;MartBranco1557;HTL205;Plaza Mayor Hotel;4;2;205 Plaza Mayor, Madrid;2022/10/11;2022/10/15;190;true;Room Type: Family Suite;4;An enjoyable stay overall.
Book0000001121;AmélNeto;HTL203;Gran Vía View Hotel;4;2;203 Gran Vía, Madrid;2022/10/11;2022/10/13;210;true;Bathroom: Shower;3;
Book0000001126;JoMorais318;HTL201;Puerta del Sol Hotel;4;2;201 Calle de Alcalá, Madrid;2022/10/11;2022/10/12;180;true;View: Garden View;3;
Book0000001142;IvBranco;HTL903;Belém Riverside Hotel;4;2;;2022/12/09;2022/12/12;220;true;Room Type: Deluxe;3;
;MaFaria788;HTL705;Aker Brygge Waterfront Hotel;4;4;705 Stranden, Oslo;2021/11/11;2021/11/14;260;true;Bathroom: Shower;1;
Book0000001283;GabrLeite1137;HTL401;Canal View Hotel;3;2;401 Prinsengracht, Amsterdam;2021/06/13;2021/06/17;150;true;Number of Beds: 2;3;
Book0000001288;HPires801;HTL1502;;4;3;202 Bergweg, Munich;2023/06/17;2023/06/18;280;true;Room Size: 400 sq ft;4;
Book0000001293;LBaptista86;;Munich Lakeside Resort;4;3;204 Am Seeufer, Munich;2023/06/17;2023/06/21;320;true;Room Size: 700 sq ft;3;
Book0000001296;JulianPinto;HTL1503;Munich Central Inn;3;3;203 Innenstadtstraße, Munich;2023/06/17;2023/06/20;150;false;Room Type: Suite;4;The hotel exceeded our expectations.
Book0000001337;ICoelho576;HTL704;Opera House Suites;4;4;704 Kirsten Flagstads plass, Oslo;2022/04/08;2022/04/10;240;true;Room Size: 400 sq ft;3;The staff was attentive to our needs.
Book0000001351;VaCoelho1853;HTL705;Aker Brygge Waterfront Hotel;4;4;705 Stranden, Oslo;2022/04/08;2022/04/10;260;true;View: Mountain View;3;
Book0000001354;AndreAlves573;HTL701;Fjord View Hotel;4;4;701 Akershusstranda, Oslo;2022/04/08;2022/04/12;220;true;Occupancy: 3 Guests;2;The concierge provided helpful recommendations.
Book0000001373;GuiNeto1432;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2022/02/07;2022/02/11;120;false;Amenities: TV;3;
Book0000001389;SebaCampos;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2022|02|07;2022/02/09;220;true;Bathroom: Ensuite;3;The hotel offered a complimentary shuttle service.
Book0000001413;MadaNunes;HTL1602;Old Town Boutique Hotel;4;4;302 Stare Miasto, Warsaw;2023/04/20;2023/04/22;290;true;Number of Beds: 2 Queen Beds;4;
Book0000001426;GabriCarvalho1676;HTL1602;Old Town Boutique Hotel;4;4;302 Stare Miasto, Warsaw;2023/04/20;2023/04/24;290;true;Bathroom: Private;4;Family-friendly accommodations.
Book0000001431;RiOliveira466;HTL912;Riverside Suites;4;2;12 Riverside Road, Budapest;2023/07/11;2023/07/14;180;true;Amenities: Free Wi-Fi;2;
Book0000001452;TatiaAmorim1160;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2023/01/15;2023/01/18;220;true;Room Size: 300 sq ft;1;
Book0000001462;HuNeto;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2023/01/15;2023/01/18;160;false;Number of Beds: 2;3;Beautiful views from our room.
Book0000001476;ISoares1857;HTL1404;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2023/01/15;2023/01/18;200;true;Room Type: Family Suite;2;The spa treatments were rejuvenating.
Book0000001493;SaPereira;HTL303;Nørrebro Boutique Hotel;3;3;303 Nørrebrogade, Copenhagen;2021/04/08;2021/04/09;160;false;Bathroom: Bathtub;3;
Book0000001504;SimGonçalves;HTL304;Copenhagen Harbor View Inn;-1;3;304 Havnegade, Copenhagen;2021/04/08;2021/04/12;320;true;Number of Beds: 1 King Bed;4;Our room had a fantastic view of the river.
Book0000001512;GuilFaria15;HTL305;Vesterbro Comfort Suites;4;3;305 Vesterbrogade, Copenhagen;2021/04/08;2021/04/09;290;true;Room Type: Executive Suite;2;
Book0000001526;BrunMarques-Vaz95;HTL1601;Royal Palace Hotel;5;4;301 Aleje Ujazdowskie, Warsaw;2021/06/02;2021/06/03;380;true;Number of Beds: 1 King Bed;2;
Book0000001548;CarolRamos100;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2021/06/13;2021/06/15;200;true;Room Size: 300 sq ft;1;Staff was friendly and accommodating.
Book0000001549;NunNogueira1678;HTL902;Bairro Alto Suites;4;2;902 Rua da Rosa, Lisbon;2021/06/13;2021/06/17;190;true;Number of Beds: 1 King Bed;2;Beautiful views from our room.
Book0000001559;EdgMacedo;HTL902;Bairro Alto Suites;4;2;902 Rua da Rosa, Lisbon;2021/06/13;2021/06/15;190;true;Room Size: 300 sq ft;4;The check-in process was quick and easy.
Book0000001574;HugPinto-Rodrigues1412;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;2021/06/13;2021/06/16;120;true;Bathroom: Bathtub;2;Spa facilities were top-notch.
Book0000001578;NádBrito;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2021/06/13;2021/06/14;200;true;Room Type: Executive Suite;2;Good room service options.
Book0000001587;YasmiCastro1813;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2021/06/13;2021/06/14;220;true;Room Size: 400 sq ft;2;The hotel offered a complimentary shuttle service.
Book0000001594;CaroPaiva;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;2021/06/13;2021/06/16;120;true;Number of Beds: 2 Queen Beds;2;
Book0000001597;IsAntunes;HTL1303;Port de Nice Suites;4;3;1303 Quai des Docks, Nice;2021/02/18;2021/02/22;220;1;Amenities: TV;1;
Book0000001607;Ângela-LunMoura1009;HTL1303;Port de Nice Suites;4;3;1303 Quai des Docks, Nice;2021/02/18;2021/02/22;220;true;Number of Beds: 1;1;A fantastic place for a romantic getaway.
Book0000001624;EmNeto;HTL1303;Port de Nice Suites;4;3;1303 Quai des Docks, Nice;2021/02/18;2021/02/21;220;true;Room Type: Suite;3;
Book0000001635;JoPacheco;HTL805;Brera Art District Hotel;4;2;805 Via Brera, Milan;2022/06/01;2022/06/02;240;true;Room Size: 400 sq ft;2;
Book0000001640;NunAraújo1539;HTL805;Brera Art District Hotel;4;2;805 Via Brera, Milan;2022/06/01;2022/06/05;240;true;Occupancy: 4 Guests;3;
Book0000001651;JorDomingues562;HTL805;Brera Art District Hotel;4;2;805 Via Brera, Milan;2022/06/01;2022/06/03;240;true;Room Size: 300 sq ft;4;
Book0000001658;EAlves15;HTL804;Sforza Castle View Hotel;4;2;804 Piazza Castello, Milan;2022/06/01;2022/06/04;210;true;View: City View;4;The hotel restaurant had a diverse menu.
Book0000001667;AliPacheco-Barbosa268;HTL704;Opera House Suites;4;4;704 Kirsten Flagstads plass, Oslo;2023/06/11;2023/06/13;240;true;View: Mountain View;1;Good value for the price.
Book0000001695;PetrCarvalho1905;HTL701;Fjord View Hotel;4;4;701 Akershusstranda, Oslo;2023/06/11;2023/06/13;220;true;Amenities: Free Wi-Fi;3;Our room had a fantastic view of the river.
Book0000001709;FabiaSousa1260;HTL605;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2023/06/06;2023/06/08;210;true;Bathroom: Shower;4;Easy access to tourist attractions.
Book0000001762;ValentPinheiro472;HTL902;Bairro Alto Suites;4;2;902 Rua da Rosa, Lisbon;2021/02/13;2021/02/16;190;true;Number of Beds: 2 Queen Beds;1;
Book0000001770;RicLeal1348;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2021/02/13;2021/02/16;200;TRUE;Room Size: 500 sq ft;3;
;NelRamos;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2021/02/13;2021/02/15;220;true;Number of Beds: 1 King Bed;3;
Book0000001799;LorTavares;HTL1301;Promenade des Anglais Hotel;4;3;1301 Promenade des Anglais, Nice;2023/05/15;2023/05/17;250;true;Occupancy: 2 Guests;1;
Book0000001800;MelisGomes481;HTL1303;Port de Nice Suites;4;3;;2023/05/15;2023/05/17;220;true;Room Type: Executive Suite;3;The staff went above and beyond to make us feel welcome.
Book0000001806;TaMendes;HTL1304;Cimiez Hill View Hotel;3;3;1304 Avenue des Arènes de Cimiez, Nice;2023/05/15;2023/05/18;190;true;Room Size: 400 sq ft;4;Family-friendly accommodations.
Book0000001817;GustBarbosa1653;HTL1302;Old Town District Inn;3;3;1302 Rue de la Préfecture, Nice;09:01:32 PM/15/02/2009;2023/05/16;180;false;View: Garden View;3;
Book0000001836;NádSimões-Soares480;HTL1105;Josefov District Hotel;4;1;1105 Josefov, Prague;2023/05/09;2023/05/12;240;true;Number of Beds: 2;1;The bar had a wide selection of drinks.
Book0000001864;SimBarros;HTL1101;Old Town Square Hotel;4;1;1101 Staroměstské náměstí, Prague;2023/05/09;2023/05/12;230;true;Number of Beds: 1;4;
Book0000001885;AMatias-Nogueira469;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2023/03/09;2023/03/11;;false;Bathroom: Ensuite;4;We received a warm welcome upon arrival.
Book0000001889;HugPinto-Rodrigues1412;HTL1404;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2023/03/09;2023/03/13;200;TRUE;View: Mountain View;4;Staff was friendly and accommodating.
Book0000001895;IsaPires;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;07:59:34 PM/02/05/2001;2023/03/12;160;false;Number of Beds: 1 King Bed;4;
Book0000001899;MGaspar;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2023/03/09;2023/03/11;220;true;Amenities: Mini Fridge;2;
Book0000001922;EmNascimento;HTL913;City Center Plaza Hotel;3;2;45 Plaza Street, Budapest;2022/02/06;2022/02/08;100;false;Amenities: Free Wi-Fi;3;
Book0000001935;MadaNunes;HTL1104;Prague Castle View Hotel;4;1;1104 Hradčanské náměstí, Prague;2022/03/13;2022/03/17;210;true;Room Type: Family Suite;4;
Book0000001938;JoeMelo;HTL1102;Charles Bridge Suites;5;1;1102 Karlův most, Prague;2022/03/13;2022/03/17;350;true;Amenities: Air Conditioning;2;
Book0000002033;Larissa-HelSoares;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2023/08/17;2023/08/20;120;false;Bathroom: Bathtub;2;Impressive lobby and amenities.
Book0000002067;JoaTorres1401;HTL1101;Old Town Square Hotel;4;1;1101 Staroměstské náměstí, Prague;2023/06/21;2023/06/25;230;true;Room Size: 300 sq ft;4;
Book0000002082;NaiaPaiva;HTL1101;Old Town Square Hotel;4;1;1101 Staroměstské náměstí, Prague;2023/06/21;2023/06/23;230;true;Room Size: 400 sq ft;1;
Book0000002102;DuaSantos;HTL304;Roman Forum Inn;4;3;304 Via dei Fori Imperiali, Rome;2023/04/04;2023/04/08;;true;Bathroom: Ensuite;4;We will definitely return to this hotel.
Book0000002130;GiGomes26;;Vatican City Suites;5;3;302 Via della Conciliazione, Rome;2023/04/04;2023/04/07;320;true;Room Type: Executive Suite;4;
Book0000002149;RaquPinho;HTL202;;5;2;202 Plaza de Oriente, Madrid;2021/10/20;2021/10/24;280;true;Amenities: Air Conditioning;3;
Book0000002167;ARibeiro-Faria644;HTL202;Royal Palace Suites;5;2;202 Plaza de Oriente, Madrid;2021/10/20;2021/10/24;280;true;Occupancy: 3 Guests;4;The pool area was relaxing and clean.
Book0000002182;GTavares444;HTL201;Puerta del Sol Hotel;4;2;201 Calle de Alcalá, Madrid;2021/10/20;2021/10/22;180;true;Number of Beds: 2 Queen Beds;3;
;LucMacedo1638;HTL305;Vesterbro Comfort Suites;4;3;305 Vesterbrogade, Copenhagen;2022/08/17;2022/08/18;290;true;Occupancy: 4 Guests;2;
Book0000002232;BeatriFernandes;HTL301;Nyhavn Waterfront Hotel;4;3;301 Nyhavn, Copenhagen;2021/08/04;2021/08/07;280;true;Occupancy: 2 Guests;3;Quiet and peaceful ambiance.
Book0000002233;XavCarvalho1268;HTL302;Copenhagen Grand Palace;5;3;302 Kongens Nytorv, Copenhagen;2021/08/04;2021/08/07;380;TRUE;Bathroom: Bathtub;3;Impressive lobby and amenities.
Book0000002255;LeFaria1065;HTL304;Copenhagen Harbor View Inn;4;3;304 Havnegade, Copenhagen;2021/08/04;2021/08/06;320;true;Number of Beds: 2 Double Beds;2;
Book0000002266;EnTavares;HTL1205;Sörnäinen Waterfront Inn;3;-23;1205 Sörnäisten rantatie, Helsinki;2022/08/14;2022/08/15;160;true;Room Size: 300 sq ft;4;An enjoyable stay overall.
Book0000002291;MaMagalhães;HTL1205;Sörnäinen Waterfront Inn;3;3;1205 Sörnäisten rantatie, Helsinki;2022/08/14;2022/08/16;160;true;Number of Beds: 1;2;
Book0000002292;BrRocha-Oliveira;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2022/08/14;2022/08/16;200;-23;Room Type: Deluxe;3;The hotel exceeded our expectations.
Book0000002299;DinLima519;HTL1205;Sörnäinen Waterfront Inn;3;3;1205 Sörnäisten rantatie, Helsinki;2022/08/14;2022/08/17;160;true;Occupancy: 4 Guests;1;
Book0000002314;AlexFreitas56;HTL303;Nørrebro Boutique Hotel;3;3;303 Nørrebrogade, Copenhagen;2021/01/16;2021/01/15;160;false;Room Type: Executive Suite;3;
Book0000002319;TiaSimões333;HTL301;Nyhavn Waterfront Hotel;4;3;301 Nyhavn, Copenhagen;2021/01/15;2021/01/17;280;true;Number of Beds: 2 Queen Beds;3;
Book0000002399;ÂngeLeal1617;;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2022/04/02;2022/04/05;210;true;View: Garden View;1;Well-appointed rooms with nice decor.
Book0000002407;JosMendes;HTL601;Vienna Opera Hotel;4;4;601 Opernring, Vienna;2022/04/02;2022/04/06;190;T;View: Garden View;2;
Book0000002465;JoMota-Mendes;HTL703;Holmenkollen Lodge;5;4;703 Kongeveien, Oslo;2022/06/14;2022/06/17;350;true;Number of Beds: 2;2;Close to shopping and dining options.
Book0000002491;MicOliveira;HTL1605;Warsaw Park View Hotel;4;4;305 Parkowa Aleja, Warsaw;2021/10/03;2021/10/01;310;true;Bathroom: Bathtub;1;The bar had a wide selection of drinks.
Book0000002513;MFonseca;HTL1103;Wenceslas Square Inn;3;1;1103 Václavské náměstí, Prague;2023/08/16;2023/08/17;160;false;Room Type: Standard;2;The hotel offered a complimentary shuttle service.
Book0000002534;MafaMelo1175;HTL1102;Charles Bridge Suites;5;1;1102 Karlův most, Prague;2023/08/16;2023/08/18;350;true;Room Size: 300 sq ft;2;
Book0000002545;JoHenriques;HTL1102;Charles Bridge Suites;5;1;1102 Karlův most, Prague;2023/08/16;2023/08/19;350;true;Occupancy: 1 Guest;4;
Book0000002558;LarisBorges;;Gran Vía View Hotel;4;2;203 Gran Vía, Madrid;2022/03/08;2022/03/10;210;true;Number of Beds: 2 Queen Beds;4;
Book0000002570;Erika-ÉLourenço;HTL203;;4;2;203 Gran Vía, Madrid;2022/03/08;2022/03/11;210;true;Occupancy: 2 Guests;4;
